"id","t","y","pcap","pc","emp","unemp"
"1",1,1,22.5853096015114,15032.67,35793.8,1010.5,4.7
"2",1,1,22.9703705107863,15501.94,37299.91,1021.9,5.2
"3",1,1,22.1877201372146,15972.41,38670.3,1072.3,4.7
"4",1,1,23.5459292565727,16406.26,40084.01,1135.5,3.9
"5",1,1,22.9655512295083,16762.67,42057.31,1169.8,5.5
"6",1,1,22.6777598571911,17316.26,43971.71,1155.4,7.7
"7",1,1,21.8833517207815,17732.86,50221.57,1207,6.8
"8",1,1,23.0629613563464,18111.93,51084.99,1269.2,7.4
"9",1,1,22.4697154499038,18479.74,52604.05,1336.5,6.3
"10",1,1,22.0474956912957,18881.49,54525.86,1362,7.1
"11",1,1,23.2713881207506,19012.34,56589.16,1356.1,8.8
"12",1,1,22.8156274762354,19118.52,56481.93,1347.6,11
"13",1,1,22.4452303252632,19118.25,58021.69,1312.5,14
"14",1,1,22.5134014822696,19122,58893.97,1328.8,14
"15",1,1,22.7798877054113,19257.47,59446.86,1387.7,11
"16",1,1,22.5221925514883,19433.36,60688.04,1427.1,8.9
"17",1,1,21.9117034241643,19723.37,61628.88,1463.3,9.8
"18",2,1,21.6766110460247,10148.42,23585.99,547.4,4.4
"19",2,1,22.2812616101233,10560.54,24924.82,581.4,4.7
"20",2,1,22.37188656233,10977.53,26058.65,646.3,4.2
"21",2,1,21.7615212543574,11598.26,27304.64,714.5,4.1
"22",2,1,21.8813511453474,12129.06,28829.44,746,5.6
"23",2,1,22.1856703726243,12929.06,30243.29,729.1,12
"24",2,1,21.3572711665908,13603.89,29384.15,758.7,9.8
"25",2,1,21.540854701108,14175.42,30072.6,809.3,8.2
"26",2,1,21.9345599898987,14812.04,31139.49,895.4,6.1
"27",2,1,21.5725194220226,15547.62,32377.41,979.9,5.1
"28",2,1,21.8959073728368,16344.9,33769.92,1014,6.7
"29",2,1,21.6709677421138,17088.3,36387.15,1040.8,6.1
"30",2,1,22.5685046807769,17650.57,37332.09,1029.8,9.9
"31",2,1,22.214227600046,18108.24,37829.83,1077.8,9.1
